@RELATION pacman-data
@ATTRIBUTE north_available {True,False}
@ATTRIBUTE south_available {True,False}
@ATTRIBUTE east_available {True,False}
@ATTRIBUTE west_available {True,False}
@ATTRIBUTE stop_available {True,False}

@ATTRIBUTE ghost1_alive {True,False}
@ATTRIBUTE ghost2_alive {True,False}
@ATTRIBUTE ghost3_alive {True,False}
@ATTRIBUTE ghost4_alive {True,False}

@ATTRIBUTE ghost1_last_move {North,South,East,West,None,Stop}
@ATTRIBUTE ghost2_last_move {North,South,East,West,None,Stop}
@ATTRIBUTE ghost3_last_move {North,South,East,West,None,Stop}
@ATTRIBUTE ghost4_last_move {North,South,East,West,None,Stop}

@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC

@ATTRIBUTE food_distance NUMERIC
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}

@ATTRIBUTE score NUMERIC
@ATTRIBUTE scoreSiguiente NUMERIC

@data
True,True,True,True,True,True,True,True,True,None,None,None,None,11,9,5,3,0,0,7,Stop
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,11,9,5,3,-1,-1,7,Stop
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,11,9,5,3,-2,-2,7,Stop
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,11,9,5,3,-3,-3,7,Stop
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,11,9,5,3,-4,-4,7,Stop
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,11,9,5,3,-5,-5,7,Stop
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,12,10,4,2,-6,-6,6,East
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,13,11,5,3,-7,-7,5,East
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,14,10,6,2,-8,-8,6,North
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,15,9,7,1,-9,-9,7,North
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,16,10,8,2,-10,-10,8,North
True,True,True,True,True,True,True,True,True,Stop,Stop,Stop,None,15,9,7,1,-11,-11,9,West
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,14,8,6,0,188,188,8,South
